id,en,el,nl,fr,de,es,it,pt,tr,bg,ru,hi,ja,ko,vi,zh,hr,sr,mk,cs,da,fi,no,sv,bn,hu,id,ro,uk,pl,bs,lv,tl,mr,gu,fa,ar,he,ur
public.global.poweredBy,Powered by,Powered by,Powered by,Realisé par,Betrieben von,Impulsado por,Powered by,Powered by,Powered by,Със съдействието на,Powered by,द्वारा संचालित,提供,Powered by,Cung cấp bởi,由 () 支持,Omogućio korisnik,Омогућено од,Овозможено од,Funguje na,Drevet af,Palvelun tarjoaa,Leveres av,Drivs av,দ্বারা চালিত,Powered by,Dipersembahkan oleh,Cu sprijinul,На платформі,Powered by,Омогућено од,Powered by,Pinatatakbo ng,द्वारा समर्थित,દ્વારા સંચાલિત,طراحی شده توسط,مشغل بواسطة,מופעל על ידי,کی جانب سے
public.global.thankYou,Thank you,Ευχαριστούμε,Bedankt,Merci,Danke,Gracias,Grazie,Obrigado,Teşekkürler,Благодарим Ви,Спасибо,धन्यवाद,ありがとうございます,감사합니다,Cảm ơn,谢谢,Hvala,Хвала,Ви благодариме,Děkuji,Mange tak,Kiitos,Takk,Tack,ধন্যবাদ,Köszönöm,Terima Kasih,Mulțumesc,Дякую,Dziękujemy,Хвала,Paldies,Salamat,धन्यवाद,આભાર,از شما متشکریم,شكراً,תודה,شکریہ
public.global.discount,Discount,Έκπτωση,Korting,Promotion,Rabatt,Descuento,Sconto,Desconto,İndirim,Отстъпка,Скидка,छूट,割引,할인,Chiết khấu,折扣,Popust,Попуст,Попуст,Sleva,Rabat,Alennus,Rabatt,Rabatt,ছা়ড়,Kedvezmény,Diskon,Reducere,Знижка,Zniżka,Попуст,Atlaide,Diskwento,सवलत,ડિસ્કાઉન્ટ,تخفیف,الخصم,הנחה,رعایت/چھوٹ
public.global.viewOrder,View order,Προβολή παραγγελίας,Bekijk bestelling,Voir ma commande,Bestellung ansehen,Ver pedido,Visualizzare l'ordine,Ver pedido,Siparişi Görüntüle,Виж поръчката,Посмотреть заказ,ऑर्डर देखें,注文内容を確認,주문 보기,Xem đơn hàng,查看订单,Pogledajte red,Погледај поруџбину,Погледни ја порачката,Zobrazit objednávku,Se ordre,Tarkastele tilausta,Se bestilling,Se order,অর্ডার দেখুন,Rendelés megtekintése,Lihat pesanan,Vezi comanda,Дивитися замовлення,Wyświetl zamówienie,Погледај поруџбину,Skatīt pasūtījumu,Tingnan ang order,ऑर्डर पहा,ઓર્ડર જુઓ,مشاهده سفارش,عرض الطلب,הצג הזמנה,آرڈر دیکھیں
public.global.errorH2,Something went wrong,Κάτι πήγε στραβά,Er ging iets mis,Une erreur est survenue,Etwas ist schief gegangen,Algo salió mal,Qualcosa è andato storto,Algo correu mal,Bir hata oluştu,Нещо се обърка,Произошла ошибка,कुछ गलत हो गया,何かがうまくいきませんでした,오류가 발생하였습니다,Có gì đó đã sai,出错了,obavijest,Обавештење,Известување,Něco se pokazilo,Noget gik galt,Jokin meni pieleen,Noe gikk galt,Något fick snett,কিছু ভুল হয়েছে,Valami nem sikerült,Ada yang salah,Ceva n-a mers bine,Щось пішло не так,Coś poszło nie tak,Обавештење,Notikusi kļūda,May maling nangyari,काहीतरी चूक झाली,કંઈક ખોટું થયું,مشکلی رخ داد,هناك خطأ,משהו השתבש,کچھ غلط ہے
public.global.errorUnexpected,Something unexpected happened,Κάτι απροσδόκητο συνέβη,Er is iets onverwachts gebeurt,Une erreur imprévue est survenue,Etwas unvorhergesehenes ist passiert,Algo inesperado sucedió,È successo qualcosa di inaspettato,Erro inesperado,Beklenmedik bir hata oluştu,Стана нещо непредвидено,Произошла ошибка,कुछ अप्रत्याशित हुआ,予期せぬことが起こりました,예기치 않은 에러,Có gì đó bất ngờ xảy ra,出错了,Dogodilo se nešto neočekivano,Десило се нешто неочекивано,Се слчучи нешто неочекувано,Stalo se něco neočekávaného,Der skete noget uventet,Jotain odottamatonta tapahtui,Noe uventet skjedde,Något oförutsett inträffade,অপ্রত্যাশিত কিছু ঘটেছিল,Valami váratlan történt,Sesuatu yang tak terduga terjadi,Ceva neașteptat s-a întâmplat,"Ой, щось сталося",Stało się coś nieoczekiwanego,Десило се нешто неочекивано,Notikusi kļūda,May di inaasahang nangyari,काहीतरी अनपेक्षित घडले,કંઈક અણધાર્યું થયું,اتفاقی غیر منتظره ای رخ داد,حدث شيء غير متوقع,קרה משהו בלתי צפוי,کچھ غیر متوقع طور پر ہوا
public.global.errorExpected,Something unexpected happened,Κάτι απροσδόκητο συνέβη,Er is iets onverwachts gebeurt,Une erreur imprévue est survenue,Etwas unvorhergesehenes ist passiert,Algo inesperado sucedió,È successo qualcosa di inaspettato,Erro inesperado,Beklenmedik bir hata oluştu,Стана нещо непредвидено,Произошла ошибка,कुछ अप्रत्याशित हुआ,予期せぬことが起こりました,예기치 않은 에러,Có gì đó bất ngờ xảy ra,出错了,Dogodilo se nešto neočekivano,Десило се нешто неочекивано,Се случи нешто неочекувано,Stalo se něco neočekávaného,Der skete noget uventet,Jotain odottamatonta tapahtui,Noe uventet skjedde,Något oförutsett inträffade,অপ্রত্যাশিত কিছু ঘটেছিল,Valami váratlan történt,Sesuatu yang tak terduga terjadi,Ceva neașteptat s-a întâmplat,"Ой, щось сталося",Stało się coś nieoczekiwanego,Десило се нешто неочекивано,Notikusi kļūda,May di inaasahang nangyari,काहीतरी अनपेक्षित घडले,કંઈક અણધાર્યું થયું,اتفاقی غیر منتظره ای رخ داد,حدث شيء غير متوقع,קרה משהו בלתי צפוי,
public.global.errorMustSelectOne,You must select one value,Πρέπει να επιλέξεις μία τιμή,Je moet een waarde selecteren,Veuillez sélectionner une valeur,Sie müssen einen Wert/Betrag auswählen,Debe seleccionar un valor,Deve selezionare un valore,Tem de seleccionar um valor,Bir seçim yapmalısınız,Посочете стойност,"Пожалуйста, выберите один вариант",आपको एक मान चुनना होगा,いずれか一つを選択してください,값을 선택하십시오,Bạn phải lựa chọn một giá trị,您需要选择一项,Morate odabrati jednu od ponuđenih opcija,Морате изабрати једну од понуђених опција,Морате да одберете една од понудените опции,Musíte vybrat jednu hodnotu,Du skal vælge en værdi,Sinun on valittava yksi luku,Du må velge en veri,Du måste välja ett värde,আপনাকে অবশ্যই একটি নির্বাচন করতে হবে,Kérem egy értéket válasszon,Anda harus memilih satu nilai,Trebuie să selectați o valoare,Ви повинні вибрати одну позицію,Konieczne jest wybranie jednej wartości,Морате изабрати једну од понуђених опција,"Lūdzu, izvēlieties vienu variantu",Dapat kang pumili ng isa,आपण एक मूल्य निवडणे आवश्यक आहे,તમારે એક મૂલ્ય પસંદ કરવું જોઈએ,مقداری را انتخاب نمایید,يجب عليك اختيار قيمة واحدة,עליכם לבחור ערך אחד,آپ کسی ایک چيز کو لآزمی منتخب کریں
public.select.selectAtLeast,You must select at least {{x}},Πρέπει να επιλέξεις τουλάχιστον {{x}},Je moet minimaal {{x}} selecteren,Vous devez sélectionner au moins {{x}},Sie müssen mindestens {{x}} auswählen,Debe seleccionar al menos {{x}},Devi selezionare almeno {{x}},Você deve selecionar pelo menos {{x}},En az {{x}} seçmelisiniz,Трябва да изберете поне {{x}},Вы должны выбрать как минимум {{x}},आपको कम से कम {{x}} का चयन करना होगा,少なくとも{{x}}個選択する必要があります,{{x}} 이상을 선택해야합니다,Bạn phải chọn ít nhất {{x}},您必须至少选择{{x}},Morate odabrati najmanje {{x}},Морате одабрати најмање {{к}},Мора да изберете барем {{x}},Musíte vybrat alespoň {{x}},Du skal vælge mindst {{x}},Sinun on valittava vähintään {{x}},Du må velge minst {{x}},Du måste välja åtminstone {{x}},আপনাকে অবশ্যই কমপক্ষে {{x}} select নির্বাচন করতে হবে,Legalább {{x}} -ot kell választania,Anda harus memilih setidaknya {{x}},Trebuie să selectați cel puțin {{x}},Ви повинні вибрати принаймні {{x}},Musisz wybrać co najmniej {{x}},Morate odabrati najmanje {{x}},Jums jāizvēlas vismaz {{x}},Dapat kang pumili ng hindi bababa sa {{x}},आपण किमान {{x}} select निवडणे आवश्यक आहे,તમારે ઓછામાં ઓછું {{x}} select પસંદ કરવું જોઈએ,شما باید حداقل {{x}} select را انتخاب کنید,يجب عليك تحديد {{x}} على الأقل,עליך לבחור לפחות {{x}},آپ کو کم از کم {{x}} select منتخب کرنا چاہئے
