id,en,el,nl,fr,de,es,it,pt,tr,bg,ru,hi,ja
admin.global.delete,Delete,Διαγραφή,Verwijderen,Supprimer,Löschen,Eliminar,Elimina,Excluir,Sil,Изтрий,Yдалять,हटाएं,削除
admin.global.cancel,Cancel,Άκυρο,Annuleren,Annuler,Stornieren,Cancelar,Annulla,Cancelar,İptal et,Отказ,Oтмена,रद्द करना,キャンセル
admin.global.ok,OK,ΟΚ,OK,OK,OK,Okay,Ok,Está bem,Tamam,Добре,Хорошо,ठीक है,OK
admin.global.reject,Reject,Απόρριψη,Weigeren,Rejeter,Ablehnen,Rechazar,Rifiutare,Rejeitar,Reddet,Отхвърляне,Oтклонять,अस्वीकार,拒否する
admin.global.create,Create,Δημιουργία,Creëren,Créer,Erstellen,Crear,Creare,Crio,Oluştur,Създай,Создайте,सृजन करना,作成する
admin.global.yes,Yes,Ναι,Ja,Oui,Ja,si,sì,sim,Evet,Да,да,हाँ,はい
admin.global.print,Print,Εκτύπωση,Afdrukken,Impression,Drucken,Impresión,Stampa,Impressão,Yazdır,Печат,Распечатать,छाप,印刷
admin.global.save,Save,Αποθήκευση,Opslaan,sauvegarder,speichern,Salvar,Salva,Salve ,Kaydet,Запази,Сохранить,सहेजें,保存
admin.global.no,No,Όχι,Nee,Non,Nein,No,No,Não,Hayır,Не,нет,नहीं,いいえ
admin.global.close,Confirm,Επιβεβαίωση,Bevestigen,Confirmer,Bestätigen,Cerrar,Vicino,Fechar,Onayla,Затвори,близко,बंद करे,受注確認
admin.global.name,Name,Όνομα,Naam,Nom,Name,Nombre,Nome,Nome,Ad,Име,имя,नाम,名前
admin.global.firstName,First Name,Όνομα,Voornaam,Prénom,Vorname,Nombre de pila,Nome di battesimo,Primeiro nome,İlk ad,Име,Имя,पहला नाम,名
admin.global.language,Language,Γλώσσα,Taal,Langue,Sprache,Idioma,linguaggio,Língua,Dil,Език,язык,भाषा: हिन्दी,言語
admin.global.comment,Comment,Σχόλιο,Commentaar,Commentaire,Kommentar,Comentario,Commento,Comente,Yorum Yap,Коментар,Комментарий,टिप्पणी,コメント（店舗側受注画面のみに表示）
admin.global.email,Email,Email,E-mail,Email,Email,Email,E-mail,E-mail,E-posta,E-mail,Электронное письмо,ईमेल,メールアドレス
admin.global.login,Login,Σύνδεση,Inloggen,S'identifier,Anmeldung,Iniciar sesión,Accesso,Conecte-se,Oturum aç,Влизане,Авторизоваться,लॉग इन करें,ログインする
admin.global.noData,No data found,Δε βρέθηκαν δεδομένα,Geen data gevonden,Aucune donnée disponible,Keine Daten gefunden,Datos no encontrados,Nessun dato trovato,Nenhum dado encontrado,Veri bulunamadı,Няма намерени данни,Данные не найдены,कोई डेटा नहीं मिला,何もデータが見つかりませんでした
admin.global.field.required,This field is required,Αυτό το πεδίο είναι υποχρεωτικό,Dit veld is verplicht,Ce champ est requis,Dieses Feld wird benötigt,este campo es requerido,Questo campo è obbligatorio,Este campo é obrigatório,Bu alan gereklidir,Това поле е задължително,Это поле обязательно к заполнению,यह फ़ील्ड आवश्यक है,この項目は必須です
admin.global.field.minLength,This field should be minimum {{minLength}} characters or digits,Το πεδίο πρέπει να εχει τουλάχιστον {{minLength}} χαρακτήρες ή ψηφία,Dit veld moet minimaal {{minLength}} letters bevatten,Ce champ doit contenir au moins {{minLength}} caractères,Dieses Feld sollte mindestens {{minLength}} Zeichen enthalten.,Este campo debe tener un mínimo de {{minLength}} caracteres,Questo campo deve contenere almeno {{minLength}} caratteri,Este campo deve ter no mínimo {{minLength}} caracteres,Bu alan en az {{minLength}} karakter olmalıdır,Това поле трябва да съдържа минимум {{minLength}} знака,В этом поле должно быть не менее {{minLength}} символов.,यह फ़ील्ड कम से कम {{minLength}} वर्णों की होनी चाहिए,このフィールドは最小{{minLength}}桁である必要があります
admin.global.field.maxLength,This field cannot be more than {{maxLength}} characters or digits,Το πεδίο δεν μπορεί να υπερβαίνει τους {{maxLength}} χαρακτήρες ή ψηφία,Dit veld mag niet meer dan {{maxLength}} letters bevatten,Ce champ ne peut pas contenir plus de {{maxLength}} caractères,Dieses Feld darf nicht mehr als {{maxLength}} Zeichen enthalten,Este campo no puede tener más de {{maxLength}} caracteres,Questo campo non può contenere più di {{maxLength}} caratteri,Este campo não pode ter mais que {{maxLength}} caracteres,Bu alan {{maxLength}} karakterden fazla olamaz,Това поле не може да бъде повече от {{maxLength}} знака,Это поле не может содержать более {{maxLength}} символов,यह फ़ील्ड {{maxLength}} वर्णों से अधिक नहीं हो सकती,このフィールドは{{maxLength}}文字を超えることはできません
admin.global.description,Description,Περιγραφή,Omschrijving,Description,Beschreibung,Descripción,Descrizione,Descrição,Açıklama,Описание,Описание,विवरण,説明
admin.global.discount,Discount,Έκπτωση,Korting,Remise,Rabatt,Descuento,Sconto,Desconto,İndirim,Отстъпка,скидка,छूट,割引
